Strain,Energy
0.012,1e-05
0.024,0.0138398321445054
0.036,0.0509203917243842
0.048,0.1008751602728342
0.06,0.1557606402022405
0.072,0.2121348418966642
0.084,0.2688432418116285
0.096,0.3266831640992963
0.108,0.3862318033044181
0.12,0.4473930874854659
0.132,0.5099188127581105
0.144,0.573811831456656
0.156,0.6391534105091613
0.168,0.7062566037553186
0.18,0.7753325936950166
0.192,0.846268815044812
0.204,0.9191589733559122
0.216,0.9941021810496896
0.228,1.071050745757867
0.24,1.150064382778452
0.252,1.2312834052582986
0.264,1.3148264412153992
0.276,1.4009192214701367
0.288,1.4897816892045557
0.3,1.5815860467234768
0.312,1.6767030009249864
0.324,1.7754227650529528
0.336,1.877920671541865
0.348,1.9846093359772463
0.36,2.095949542948925
0.372,2.212391890019022
0.384,2.3342436245242157
0.396,2.46216602990216
0.408,2.596864325737609
0.42,2.738759012906384
0.432,2.8884414945898973
0.444,3.0462926539317783
0.456,3.213211885755248
0.468,3.389802660700753
0.48,3.576120655572803
0.492,3.7726971589124183
0.504,3.980040158704567
0.516,4.19869831054864
0.528,4.429374443921044
0.54,4.67347446543726
0.552,4.932767075805351
0.5640000000000001,5.208604444238149
0.5760000000000001,5.502241088056844
0.588,5.815121801226201
0.6,6.148617257018374
