Strain,Energy
0.012,1e-05
0.024,0.0001
0.036,0.0008595131137652
0.048,0.003269677279827
0.06,0.0074133019187863
0.072,0.0125622555349104
0.084,0.018164600664743
0.096,0.0240229288072993
0.108,0.0299946907135808
0.12,0.0361202213492029
0.132,0.0423865699159426
0.144,0.0487394816296802
0.156,0.0551619085824452
0.168,0.0616645231260431
0.18,0.0682491292141629
0.192,0.0749315417043184
0.204,0.0817292520121404
0.216,0.0886317887188593
0.228,0.0956493204209276
0.24,0.1027766660021803
0.252,0.109984655874352
0.264,0.117334652046731
0.276,0.1249770379166114
0.288,0.1330330493259128
0.3,0.1413652442051636
0.312,0.1497854026365183
0.324,0.1583976616495376
0.336,0.1672906396887936
0.348,0.1763916187804723
0.36,0.1856821466822968
0.372,0.1952420702072286
0.384,0.2051843951980834
0.396,0.2154891479803616
0.408,0.2262388208485605
0.42,0.2375845315239177
0.432,0.2494311037334491
0.444,0.2617304546325622
0.456,0.2746334208184431
0.468,0.288314305380259
0.48,0.3027433536835479
0.492,0.3179519314186279
0.504,0.3341037992552166
0.516,0.3511431605614513
0.528,0.3699688188944448
0.54,0.3911659766881802
0.552,0.4140642917473817
0.5640000000000001,0.4379836709131304
0.5760000000000001,0.4625353139347095
0.588,0.4882754488221743
0.6,0.515951991741032
