name,mean,std,max,fractal_dimension,volume_fraction
01_000_000_group_1,2.125921967,1.412563982,5.73988533,2.692338283,0.668555
01_000_000_group_2,1.782518772,0.824543051,3.934892893,2.719997681,0.6453
01_000_050_group_1,2.189713183,1.50296673,6.110360622,2.695859777,0.661402
01_000_050_group_2,1.763362792,0.811369389,3.934892893,2.722135729,0.637947
01_000_XXX_group_1,2.171362286,1.438287341,5.73988533,2.685825701,0.680188
01_000_XXX_group_2,1.772147053,0.834398944,4.117441654,2.717421521,0.654875
01_002_XXX_group_1,2.145327211,1.41139182,5.73988533,2.685446639,0.663994
01_002_XXX_group_2,1.727420469,0.773171587,4.011353493,2.725812194,0.632716
01_004_XXX_group_1,1.94931971,1.185783735,5.631299019,2.705755602,0.6657
01_004_XXX_group_2,1.769596211,0.830925272,4.117441654,2.718681272,0.654039
01_006_XXX_group_1,1.889819246,1.06953438,5.557730675,2.710455412,0.644519
01_006_XXX_group_2,1.747224592,0.81886863,4.038136959,2.725791974,0.624471
01_050_000_group_1,2.168917707,1.445994868,5.73988533,2.688515758,0.677362
01_050_000_group_2,1.785553252,0.865564003,4.197582245,2.717687903,0.655201
01_050_050_group_1,2.212810227,1.48686401,5.73988533,2.6879793,0.672164
01_050_050_group_2,1.762454721,0.844536447,4.117441654,2.721408405,0.647947
01_100_000_group_1,2.147373672,1.41506947,5.751823902,2.687423753,0.683093
01_100_000_group_2,1.759634139,0.826823912,4.117441654,2.720268398,0.659478
01_100_050_group_1,2.102146145,1.399795152,5.751823902,2.693564031,0.672861
01_100_050_group_2,1.752184062,0.824045773,4.117441654,2.721130634,0.653763
02_000_000_group_1,2.048622316,0.682443683,3.555487871,2.656879658,0.764909
02_000_000_group_2,2.112059445,0.765136286,4.42931366,2.640892547,0.787601
02_000_050_group_1,2.083826219,0.682990703,3.412028074,2.653895349,0.765861
02_000_XXX_group_1,2.043807205,0.687155791,3.577469587,2.662963429,0.758858
02_000_XXX_group_2,2.10379677,0.762685496,4.346682072,2.641076674,0.789214
02_002_XXX_group_2,2.117521719,0.771017961,4.119821072,2.642092374,0.783459
02_004_XXX_group_1,2.114977936,0.720843538,3.912414789,2.651674728,0.764821
02_004_XXX_group_2,2.142541357,0.765517931,4.346682072,2.6416015,0.778962
02_006_XXX_group_2,2.187361072,0.790835861,4.119821072,2.640622234,0.772959
02_050_000_group_1,2.060282976,0.695991565,4.001570225,2.654771294,0.767395
02_050_050_group_1,2.100244887,0.689288377,3.872131586,2.647773339,0.770076
02_050_050_group_2,2.157435967,0.819871465,4.346682072,2.637610995,0.783684
