CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
0.751751,0.140272,0.105953,0.552175,1.22805,0.088151,0.849483,0.8613970000000001,-0.0348368,0.779984
2.1999,0.431386,0.172981,0.935054,3.85858,0.428064,0.812922,0.852603,-1.64169,0.711862
3.67899,0.348201,0.763882,1.36589,7.62695,1.33427,0.689546,0.24374099999999999,-0.314207,0.768474
5.12915,0.390778,0.496592,1.31649,6.28788,1.19467,0.454802,0.805767,-1.6953399999999998,0.865921
6.77242,0.116808,0.446581,0.756541,2.8292,0.226723,0.887694,0.39496200000000004,-0.116053,0.635552
7.7657,0.176108,0.180149,0.705922,2.18975,0.184191,0.802714,0.770224,1.76268,0.714938
9.31388,0.409743,0.306661,1.05411,3.98776,0.613284,0.444852,0.6806699999999999,0.077375,0.875379
10.3319,0.271518,0.831835,1.09222,5.44435,0.682227,0.757263,0.186004,1.00448,0.688373
11.8458,0.185005,0.249746,0.875669,3.08871,0.351575,0.848263,0.885445,1.7729,0.779924
13.8132,0.3188,0.094,0.485786,0.868531,0.060025,0.840417,0.880906,-0.923249,0.853598
0.408938,1.17818,0.36362,1.09877,5.03136,0.694575,0.520737,0.5442130000000001,1.13467,0.753838
4.39299,1.04269,0.09164660000000001,0.688401,1.92216,0.170814,0.878689,0.880624,-1.51936,0.774539
7.24868,1.598,0.630238,2.16974,20.0734,5.3484,0.62005,0.805148,0.191371,0.736794
12.8445,0.978412,0.587338,1.20109,5.21462,0.907235,0.444186,0.310793,0.08101050000000001,0.86911
10.6246,1.92244,0.352023,1.87104,17.4788,3.42966,0.875635,0.8696670000000001,-1.43867,0.629225
1.6425,2.22091,0.640078,2.00032,17.0585,4.19077,0.509929,0.677161,0.6714709999999999,0.736894
13.0452,2.1572,0.395397,1.20124,5.31227,0.907578,0.410016,0.70092,1.39595,0.853349
3.99918,2.18011,0.431351,1.51575,10.0745,1.82339,0.742243,0.709849,1.71836,0.716441
0.201007,2.46604,0.645252,0.996378,4.1765,0.51793,0.787547,0.729862,-0.8494769999999999,0.746768
6.21466,2.98694,0.179861,0.946892,4.09268,0.444528,0.761833,0.891041,-1.48502,0.688244
13.7337,3.07506,0.476359,0.934805,3.64873,0.427721,0.731551,0.349921,1.09412,0.752401
12.0906,2.95803,0.159798,0.506198,0.823155,0.067914,0.284236,0.594334,0.6304500000000001,0.977933
9.43354,3.22351,0.218327,0.889958,3.31588,0.369068,0.676245,0.7692669999999999,-0.786887,0.750394
13.0516,3.55821,0.101957,0.784136,3.08909,0.252448,0.943395,0.839511,0.256116,0.625319
0.13377,3.64531,0.165471,0.630163,1.60773,0.131026,0.82135,0.83122,0.880574,0.775966
4.91772,2.26189,1.05176,1.48143,9.03961,1.70231,0.662932,0.564852,-0.9078870000000001,0.762711
7.57727,3.34775,0.546587,1.30093,6.25876,1.15282,0.271669,0.7086950000000001,0.29983699999999996,0.849515
1.27859,3.69031,0.272617,1.10291,4.46038,0.702464,0.629643,0.8298300000000001,-1.56054,0.856765
3.56247,4.33157,0.797534,2.26205,27.0422,6.06047,0.715605,0.6833899999999999,0.328815,0.594446
4.86663,3.598,0.265773,0.846212,2.94873,0.317275,0.841219,0.874869,-0.15079800000000002,0.762909
11.8436,3.59914,0.08475680000000001,0.494868,0.849117,0.063455,0.748462,0.8897410000000001,-1.5231899999999998,0.906067
5.36508,4.1846,0.140159,0.661066,1.52768,0.151263,0.659978,0.886257,-0.681939,0.898682
10.5075,5.35243,0.913328,2.89794,45.9311,12.7428,0.674502,0.8563290000000001,-1.7564099999999998,0.574408
7.72786,4.52404,0.206615,1.07227,4.28937,0.645526,0.78664,0.881374,0.0557,0.842105
13.1808,4.96715,0.119864,0.809581,3.70866,0.27783,0.94044,0.8812949999999999,-1.37352,0.555204
6.62921,4.05003,0.450122,0.863541,2.81208,0.337169,0.632996,0.560009,-0.5820029999999999,0.833082
0.831122,4.50034,1.24804,1.93792,14.7418,3.81073,0.354848,0.112173,-1.45082,0.800338
4.8593,5.60547,0.306665,1.33964,7.12278,1.25881,0.653162,0.8929739999999999,1.28285,0.791543
0.337404,6.03065,0.483508,1.18233,5.51657,0.865389,0.669037,0.568281,0.78931,0.796079
2.93687,6.2554,0.343946,1.51489,9.09453,1.8203,0.812424,0.8650530000000001,0.307473,0.792743
6.87587,5.93987,0.770361,1.74713,14.0755,2.79236,0.577761,0.5355449999999999,1.10528,0.681293
13.7824,6.18697,0.520518,1.03224,4.88125,0.575897,0.921363,0.8506619999999999,-0.8942570000000001,0.685776
8.72889,6.47771,0.2905,1.27982,6.0642,1.0976,0.718505,0.865898,0.85274,0.848542
1.39649,6.81878,0.425928,1.3195,6.57145,1.2029,0.33005,0.824574,0.35094299999999995,0.832357
12.7635,6.71269,0.69687,1.68569,10.2542,2.50802,0.59542,0.362346,-0.699664,0.870565
5.53445,6.74909,0.628366,1.46493,7.77882,1.64606,0.333307,0.697697,-0.0762187,0.866696
7.69812,7.26114,0.162026,0.948594,3.53822,0.446929,0.830492,0.8847039999999999,-1.33562,0.79896
11.1091,7.3024,0.178621,0.934805,3.30982,0.427721,0.756371,0.876092,-1.5168799999999998,0.829445
9.8621,7.19871,0.0725403,0.545652,1.36028,0.085064,0.945739,0.868864,-0.28708300000000003,0.687629
2.35459,8.17132,0.9798,2.0217,17.0163,4.3266,0.410916,0.159962,-1.6810900000000002,0.754602
4.16754,8.69357,1.34341,2.72232,37.922,10.5637,0.581865,0.33209299999999997,1.6571799999999999,0.613956
6.32186,7.79147,1.01266,1.47613,7.5795,1.68413,0.511966,0.17972200000000002,1.08026,0.903152
5.89306,8.87997,0.33283,1.37055,7.27131,1.34799,0.6546,0.8169230000000001,0.9299200000000001,0.811577
8.84227,7.73676,0.415525,0.755012,1.86697,0.225351,0.238961,0.237288,0.962107,0.959224
1.1018,8.03671,0.407533,0.94027,2.92294,0.435267,0.327157,0.111465,1.2017,0.950244
9.90002,9.15402,1.80129,3.61091,58.4765,24.6518,0.533354,0.536671,-1.5493700000000001,0.700489
