CenterX(mm),CenterY(mm),CenterZ(mm),EqDiameter(mm),Area(mm^2),Volume(mm^3),Anisotropy,OrientationPhi,OrientationTheta,Sphericity
2.27408,0.975474,1.6924,3.33642,47.8251,19.4464,0.49934,0.843834,1.79022,0.731231
8.87825,0.177873,0.1225,0.559943,1.10915,0.091924,0.681669,0.894127,-1.7844399999999998,0.888066
12.7242,0.617884,0.419661,1.8661,15.5037,3.40256,0.86473,0.8699030000000001,0.07034900000000001,0.705645
7.38016,1.24488,0.226764,1.41283,8.49351,1.47662,0.863777,0.8963500000000001,-0.860519,0.738315
4.95974,1.77654,0.363046,1.78829,13.8271,2.99439,0.769969,0.812656,-1.15249,0.726595
0.466963,0.875913,0.493605,0.993068,3.25608,0.512785,0.247508,0.561617,0.867161,0.951508
2.65033,3.16153,0.434914,2.17663,21.8856,5.39951,0.838681,0.842619,0.32323799999999997,0.680081
12.2273,2.40442,0.613726,1.86063,13.4441,3.37272,0.5876,0.614853,-1.05241,0.808982
9.38127,2.74222,0.785424,1.36048,7.2349,1.31849,0.49886,0.22770600000000002,0.6654680000000001,0.803718
13.6346,2.89751,0.325775,0.992182,4.54357,0.511413,0.777139,0.8475490000000001,-0.7469169999999999,0.680667
7.96325,2.89358,0.351321,0.990627,3.63863,0.509012,0.22234,0.558257,-1.2555500000000002,0.847289
5.85442,4.10263,0.461275,1.53712,7.89514,1.90159,0.440231,0.8645229999999999,-0.79109,0.940161
11.3697,3.95122,1.9149,3.37692,44.3528,20.1633,0.264431,0.7584449999999999,0.08400819999999999,0.807736
13.6649,4.70197,0.292136,1.18014,6.16896,0.860587,0.885355,0.876139,0.9022150000000001,0.709254
8.82901,4.99722,0.258582,1.6314,12.3049,2.2734,0.864006,0.890287,0.8294029999999999,0.679504
1.07896,4.6571,0.368203,1.4704,8.5147,1.66458,0.725049,0.844785,-1.0240900000000002,0.797721
7.33263,4.43373,0.230467,0.643621,1.45867,0.139601,0.426619,0.278115,-0.0545254,0.89218
3.33058,5.3813,0.474969,1.48895,7.40435,1.72838,0.382959,0.8775350000000001,0.5444169999999999,0.940638
12.5929,5.28784,0.215064,0.875099,3.01392,0.350889,0.637834,0.734997,-0.27561,0.798239
5.21062,5.6381,0.342297,1.17998,4.78707,0.860244,0.464079,0.854327,0.621194,0.913753
6.26707,6.74823,0.702088,1.56943,10.9665,2.02404,0.564301,0.511212,-1.71904,0.705605
2.40171,7.51368,0.890275,2.91549,31.6621,12.9757,0.49365,0.8053950000000001,-1.16449,0.843394
13.2784,7.37955,0.519829,1.51613,8.26596,1.82476,0.352713,0.859183,0.653346,0.873631
11.6321,6.95086,0.112328,0.810247,2.73411,0.278516,0.868596,0.896911,-0.634541,0.754341
0.321619,7.33975,0.0848705,0.796718,3.32914,0.264796,0.961225,0.889509,-1.00963,0.598999
8.09883,6.92096,0.0984409,0.746489,2.31697,0.217805,0.872082,0.888418,-0.41501899999999997,0.755573
4.57655,7.7156,0.157845,0.858238,2.98128,0.330995,0.842653,0.882048,0.674918,0.776181
6.70497,9.12776,1.63559,3.71729,53.505,26.8953,0.228542,0.277735,1.3666,0.811349
10.9212,10.1108,1.15926,3.39698,50.3488,20.5248,0.485933,0.518953,0.414884,0.720025
13.2057,9.58741,0.534346,1.73503,10.4376,2.73474,0.464026,0.864147,0.837716,0.906071
0.905037,9.31668,0.794194,1.71921,9.80098,2.66065,0.218676,0.527715,-1.28839,0.947414
2.36845,10.7825,1.16359,2.22293,17.6686,5.75142,0.280422,0.29746500000000003,0.79206,0.878613
4.91186,11.9601,0.737334,2.2834,18.5576,6.23368,0.467808,0.7545149999999999,0.9818439999999999,0.882656
0.600657,11.6772,0.28724,1.31497,7.86875,1.19055,0.84747,0.8807470000000001,-0.765651,0.690363
6.95053,11.8436,0.359245,1.63181,10.2633,2.27512,0.697002,0.8712820000000001,-1.1706,0.815075
8.63904,11.803,2.02501,3.36547,39.9826,19.9588,0.257568,0.791789,0.0555705,0.889959
13.5459,11.3499,0.670438,1.28566,6.85773,1.11269,0.818201,0.214648,-0.843287,0.757217
2.72964,12.8035,0.405034,2.14012,20.7519,5.13231,0.826222,0.899705,0.346234,0.693375
12.375,13.0109,1.56868,3.35188,41.2436,19.718,0.592377,0.177297,0.23691800000000002,0.855796
8.65687,13.0082,0.326811,1.34666,6.41816,1.2787,0.697873,0.887206,0.149338,0.887674
6.6926,13.6258,0.777092,1.86548,17.6213,3.39913,0.903652,0.780047,1.7930000000000001,0.620427
4.67197,9.20624,0.481078,0.792916,2.34291,0.261023,0.537921,0.649645,1.0576999999999999,0.843041
10.4004,1.48255,1.18255,2.0478,14.6258,4.49639,0.176984,0.11491799999999999,0.31229399999999996,0.900758
13.4991,6.16701,1.57095,1.67096,11.0036,2.44285,0.802059,0.182394,0.6392880000000001,0.797165
8.28184,1.03819,1.33413,2.26975,17.5977,6.12255,0.203143,0.580083,1.3659800000000002,0.919706
4.50759,4.22759,0.532749,0.645723,1.36541,0.140973,0.39841,0.703891,0.78613,0.959352
12.1707,6.09054,0.563509,0.798776,2.07186,0.266854,0.245576,0.20433,1.2394,0.967474
9.76611,7.28729,2.25447,3.92725,55.7231,31.7148,0.596303,0.43289099999999997,1.4515500000000001,0.869541
0.105938,10.3569,0.842158,0.787671,2.55563,0.255878,0.881085,0.24373799999999998,0.9082779999999999,0.76268
4.71879,3.10732,1.13645,1.60733,8.44695,2.17428,0.204678,0.43984,-0.966326,0.960861
3.75588,9.98508,0.617542,0.614374,1.23527,0.121422,0.286861,0.381087,0.619078,0.959959
1.40067,4.4077,2.47035,3.44431,56.2361,21.3946,0.501249,0.6794540000000001,0.761449,0.662734
7.48559,5.12387,0.847911,0.971108,3.33058,0.479514,0.433273,0.7620950000000001,1.40663,0.889539
0.290605,6.69658,1.77197,1.83628,16.3238,3.24204,0.867665,0.12891,1.15378,0.648945
9.59285,13.6378,1.40725,1.52435,8.86763,1.8546,0.804172,0.097834,1.69937,0.823209
6.29831,2.10619,1.50933,2.41673,22.6126,7.39062,0.707439,0.8073250000000001,0.8561610000000001,0.811437
7.49678,6.14394,0.892168,0.677636,1.49897,0.162925,0.351544,0.492909,0.733422,0.962388
13.2862,1.69628,1.14891,1.03347,3.46288,0.577955,0.244824,0.27778400000000003,-1.20811,0.968968
4.64222,6.78252,2.40377,3.06782,35.2217,15.1177,0.324511,0.423938,0.859309,0.839455
10.3306,0.226135,2.03332,1.43924,9.0015,1.56099,0.868626,0.121388,0.0209964,0.722941
8.34686,3.80994,1.88293,2.29299,17.406,6.31257,0.229352,0.35464100000000004,-0.7978789999999999,0.94898
0.950263,13.2897,1.77631,1.94954,12.999,3.87967,0.370007,0.18769,0.9982559999999999,0.918553
13.5485,8.4212,1.48179,1.26947,5.455,1.07119,0.430963,0.42107,0.8507210000000001,0.928111
5.0861,0.482798,2.04452,1.50561,9.06488,1.78703,0.760212,0.216251,0.960291,0.785615
13.0069,0.738333,3.08167,2.68371,30.7455,10.1206,0.745175,0.08871639999999999,0.212127,0.735934
4.07786,3.94102,2.72868,2.25748,19.5014,6.02377,0.315491,0.429266,-0.20337700000000003,0.820976
6.43767,4.86229,2.06994,1.91635,12.3885,3.68485,0.2219,0.541513,-1.19714,0.931277
5.14485,4.68068,1.51981,0.778772,1.96429,0.247303,0.31742,0.272785,-0.714173,0.969984
12.3537,5.97127,1.47966,0.802862,2.10454,0.27097,0.242208,0.45576500000000003,-1.03379,0.962221
3.06245,13.7342,1.8093,1.02315,4.18147,0.560805,0.781212,0.6565000000000001,-1.7673500000000002,0.786497
7.07986,6.62684,1.90615,0.987278,3.93643,0.503867,0.575711,0.737478,0.350375,0.777904
13.2194,10.3336,2.38923,1.75496,10.3053,2.83009,0.237274,0.07928099999999999,1.28055,0.938907
13.321,2.78477,2.15045,1.31888,8.06728,1.20119,0.553548,0.210537,-0.157782,0.677377
3.00702,5.67982,1.685,0.805563,2.14618,0.273714,0.194573,0.347293,1.0404600000000002,0.94991
0.713395,10.2569,1.85379,1.25397,5.27754,1.03243,0.142811,0.45969,-0.833266,0.936037
2.76444,12.4846,2.17183,1.10632,4.70251,0.708981,0.697477,0.23668299999999998,0.616053,0.817668
0.377519,11.4853,1.81519,0.759581,1.90891,0.229467,0.376791,0.278133,0.666062,0.949539
4.004,8.5484,1.6569,0.403118,0.535081,0.0343,0.484512,0.590217,0.916334,0.9541
3.65326,12.4995,1.71392,0.529794,0.910224,0.077861,0.327128,0.7377589999999999,-0.49183,0.96876
4.71467,13.686,1.99133,0.409728,0.773998,0.036015,0.94063,0.356398,-1.08613,0.681397
4.80088,10.4574,1.708,0.434246,0.611549,0.042875,0.441185,0.47627899999999995,1.0993600000000001,0.968699
0.481452,10.9843,3.41729,2.12432,20.2535,5.01946,0.829158,0.341089,-1.1538,0.699985
5.12993,11.8189,3.09179,2.97054,32.1892,13.7248,0.459651,0.43420400000000003,-1.4868899999999998,0.861214
1.21069,8.40424,2.47822,1.59421,9.04915,2.12146,0.349168,0.32995399999999997,0.8564430000000001,0.882332
3.12135,9.25149,3.11943,2.82344,28.5851,11.7851,0.233208,0.7811239999999999,-1.37145,0.876127
3.9044,2.55234,1.99957,0.493975,0.818848,0.063112,0.35593,0.557494,-1.15154,0.936172
6.22614,0.106733,2.59871,0.773699,2.45602,0.242501,0.892058,0.08351499999999999,0.012570600000000001,0.765705
11.4986,2.06404,3.23686,1.68222,9.77746,2.49258,0.258691,0.5320239999999999,0.450455,0.909266
9.02311,2.19657,2.54581,1.02937,3.75796,0.571095,0.40665,0.146778,1.4590299999999998,0.885803
6.55035,1.73053,4.65135,4.16162,75.3863,37.7386,0.667906,0.351242,-1.18146,0.721742
12.7161,7.57793,3.76325,3.26865,40.4234,18.2853,0.371975,0.26011,-1.34535,0.830334
7.58309,0.10258,2.62705,0.626847,1.48413,0.128968,0.83921,0.0239893,-1.2112399999999999,0.831762
9.20785,1.2341,3.19408,1.28487,6.35301,1.11063,0.763632,0.134877,-0.16776700000000003,0.816366
7.95906,13.8438,2.45927,0.535185,1.0349,0.080262,0.783279,0.304497,0.042341699999999996,0.869475
4.28197,1.8223,2.42283,0.463497,0.703146,0.052136,0.459425,0.861793,0.5521,0.959835
13.44,4.75739,3.94727,1.87379,14.437,3.44475,0.816553,0.108671,0.993068,0.764036
12.301,5.67186,2.52223,0.497529,0.794791,0.064484,0.30391,0.14058199999999998,-0.693535,0.978436
4.14639,13.3112,5.66693,3.94224,82.8523,32.0794,0.891243,0.514396,-0.042248,0.589292
2.2064,6.75994,2.71453,0.876238,2.64285,0.352261,0.331383,0.0909538,-1.7246199999999998,0.912686
9.94437,10.0323,3.18274,1.46442,8.69073,1.64434,0.681323,0.248414,-1.26434,0.775216
9.9001,1.6597,2.5508,0.403118,0.554479,0.0343,0.466642,0.49573,1.05442,0.920722
2.91378,11.425,3.27548,1.59832,8.68389,2.13792,0.320483,0.203763,0.697191,0.924196
9.97163,2.48163,3.22709,0.921626,3.49335,0.409885,0.877148,0.18834900000000002,-0.975001,0.763866
12.1899,11.5131,3.76977,2.37085,21.4807,6.97765,0.33799,0.399029,-0.282129,0.822069
8.47171,0.503866,3.03272,1.14508,4.64296,0.786156,0.307478,0.836947,1.27033,0.887214
9.66548,5.24858,5.06575,3.25104,47.2637,17.9914,0.528474,0.0563168,0.488757,0.702532
7.08588,6.52972,3.90616,2.16631,16.5938,5.32302,0.275835,0.14530200000000001,-1.44513,0.88847
9.70978,13.5432,3.8071,2.08584,18.1583,4.75158,0.802463,0.313623,1.7597300000000002,0.752719
0.865874,0.746733,4.57998,2.33528,23.6195,6.66826,0.511872,0.17119800000000002,0.0957774,0.725361
2.4185,2.28044,3.72646,2.21357,17.526,5.67905,0.464244,0.6957840000000001,-1.3635300000000001,0.87832
7.74642,4.57751,3.69447,1.74124,11.5092,2.76424,0.306491,0.287965,1.6059,0.827605
10.5998,12.5159,3.12876,0.942733,3.21469,0.438697,0.538874,0.615633,-0.958206,0.868537
10.3454,1.17971,3.53232,1.07265,4.60241,0.646212,0.810984,0.391686,1.26173,0.785384
0.172734,8.63668,3.57733,1.14658,5.46739,0.789243,0.867492,0.279437,-0.9094490000000001,0.755402
